"","ID","ID.Parc","Adresse.Complete","Type","Latitude","Longitude","Adresse.Rue","Adresse.Ville","Adresse.Province","Adresse.Postal"
"1","CEA-146","First Capital - Place Nelligan","1134 St-René Boulevard West, Gatineau, QC, J8T 6H1","Level2",45.487851,-75.70122,"1134 St-René Boulevard West","Gatineau","QC","J8T 6H1"
"2","CEA-10097","DGI - Complexe Desjardins","1251 rue Jeanne-Mance, Montréal, QC, H2X 3Y2","Level2",45.507924,-73.56414,"1251 rue Jeanne-Mance","Montréal","QC","H2X 3Y2"
"3","CEA-067","St-Laurent - Bibliothèque du Boisé","2727 boul. Thimens, Saint-Laurent, QC, H4R 1T4","Level2",45.504816,-73.70434,"2727 boul. Thimens","Saint-Laurent","QC","H4R 1T4"
"4","CEA-049","Hydro-Québec - CA Lebourgneuf","2625 boul. Lebourgneuf, Québec, QC, G2C 1P1","Level2",46.82593425,-71.31671042,"2625 boul. Lebourgneuf","Québec","QC","G2C 1P1"
"5","CEA-461","Shawinigan - Aréna Gilles Bourassa","1705 117e rue, Shawinigan-Sud, QC, G9N 6V3","Level2",46.51708,-72.75541,"1705 117e rue","Shawinigan-Sud","QC","G9N 6V3"
"6","CEA-10205","RIO - Parc Olympique","4141 Avenue Pierre-De Coubertin, Montréal, QC, H1V 3N7","Level2",45.55541773,-73.5513812,"4141 Avenue Pierre-De Coubertin","Montréal","QC","H1V 3N7"
"7","CEA-470","St-Hubert - Beauport","3410 boul. Ste-Anne, Québec, QC, G1E 3L7","Level2",46.852512,-71.19589,"3410 boul. Ste-Anne","Québec","QC","G1E 3L7"
"8","CEA-10031","St-Hubert - Mont-Tremblant","330 rue de St-Jovite, Mont-Tremblant, QC, J8E 2Z9","Level2",46.11919866,-74.56836031,"330 rue de St-Jovite","Mont-Tremblant","QC","J8E 2Z9"
"9","CEA-10202","Decarie Square","6900 Boul. Décarie, Montréal, QC, H3X 2T8","Level2",45.490428,-73.650335,"6900 Boul. Décarie","Montréal","QC","H3X 2T8"
"10","CEA-006","PJC - Greenfield Park","3216 boulevard Taschereau, Greenfield Park, QC, J4V 2H3","Level2",45.49529117,-73.48362277,"3216 boulevard Taschereau","Greenfield Park","QC","J4V 2H3"
"11","CEA-10156","Sur rue - Ville-Marie - rue Champlain","1420 rue de Champlain, Montréal, QC, H2L 2S3","Level2",45.522368,-73.554282,"1420 rue de Champlain","Montréal","QC","H2L 2S3"
"12","CEA-124","First Capital - Carrefour St-David Ouest","2837 avenue St-David, Québec, QC, G1C 0J3","Level2",46.865528,-71.216852,"2837 avenue St-David","Québec","QC","G1C 0J3"
"13","CEA-090","St-Léonard - Aréna Martin-Brodeur","5300 Boulevard Robert, St-Léonard, QC, H1R 1R1","Level2",45.58554,-73.59837,"5300 Boulevard Robert","St-Léonard","QC","H1R 1R1"
"14","CEA-10100","Musée J. Armand Bombardier","1001 Avenue J.A. Bombardier, Valcourt, QC, J0E 2L0","Level2",45.494204,-72.310161,"1001 Avenue J.A. Bombardier","Valcourt","QC","J0E 2L0"
"15","CEA-10183","Sur rue - Ville-Marie - rue Frontenac","1956 Rue Frontenac, Montréal, QC, H2K 2Z1","Level2",45.532725,-73.552184,"1956 Rue Frontenac","Montréal","QC","H2K 2Z1"
"16","CEA-152","St-Hubert - Rimouski","395 Boulevard Arthur-Buies Est, Rimouski, QC, G5M 1Y1","Level2",48.4529157,-68.49426907,"395 Boulevard Arthur-Buies Est","Rimouski","QC","G5M 1Y1"
"17","CEA-197","Hydro-Québec - St-Hubert","5250 Armand-Frappier, St-Hubert, QC, J3Z 1G3","Level2",45.45869,-73.40989,"5250 Armand-Frappier","St-Hubert","QC","J3Z 1G3"
"18","CEA-359","Lacolle - Halte Cycliste","103 Rue de l'Église Sud, Lacolle, QC, J0J 1J0","Level2",45.074214,-73.37503,"103 Rue de l'Église Sud","Lacolle","QC","J0J 1J0"
"19","CEA-10000","CAA-Québec","444 rue Bouvier, Québec, QC, G2J 1E3","Level2",46.83772091,-71.26914564,"444 rue Bouvier","Québec","QC","G2J 1E3"
"20","CE-R-018","RONA - Québec","1500 rue Bouvier, Québec, QC, G2K 1N8","Level2",46.827658,-71.293394,"1500 rue Bouvier","Québec","QC","G2K 1N8"
"21","CEA-10070","DGI - Complexe Desjardins","1251 rue Jeanne-Mance, Montréal, QC, H2X 3Y2","Level2",45.507924,-73.56414,"1251 rue Jeanne-Mance","Montréal","QC","H2X 3Y2"
"22","CE-A-007","AMT - Gare Saint-Jérôme","455 boul. Jean-Baptiste-Rolland, St-Jérôme, QC, J7Z 2H5","Level2",45.77379227,-73.99891663,"455 boul. Jean-Baptiste-Rolland","St-Jérôme","QC","J7Z 2H5"
"23","CEA-083","Plateau Mont-Royal - Aréna Mont-Royal","4365 Cartier Rue, Montréal, QC, H2H 2N9","Level2",45.533424,-73.57226,"4365 Cartier Rue","Montréal","QC","H2H 2N9"
"24","CEC-00052","BRCC - CDSMML - Matane","286 Av St-Jérôme, Matane, QC, G4W 3A2","FastDC",48.843378,-67.529801,"286 Av St-Jérôme","Matane","QC","G4W 3A2"
"25","CEA-072","Ville de Boucherville - Centre Multifonctionnel","1075 Lionel-Daunais, Boucherville, QC, J4B 8N5","Level2",45.588807,-73.42835,"1075 Lionel-Daunais","Boucherville","QC","J4B 8N5"
"26","CEA-020","First Capital - Carrefour du Plateau des Grives","205-219 boul. du Plateau, Gatineau, QC, J9J 0N4","Level2",45.43321,-75.779792,"205-219 boul. du Plateau","Gatineau","QC","J9J 0N4"
"27","CE-S-004","St-Hubert - Sainte-Thérèse","350 boul. Labelle, Ste-Thérèse, QC, J7E 2Y1","Level2",45.64809036,-73.84043884,"350 boul. Labelle","Ste-Thérèse","QC","J7E 2Y1"
"28","CEA-10219","Saint-André-d'Argenteuil - Mairie","10 Rue de la Mairie, Saint-André-d'Argenteuil, QC, J0V 1X0","Level2",45.559825,-74.33206,"10 Rue de la Mairie","Saint-André-d'Argenteuil","QC","J0V 1X0"
"29","CEC-00038","BRCC - AddÉnergie","2327 boul. Versant Nord, Québec, QC, G1N 4C2","FastDC",46.79125,-71.287345,"2327 boul. Versant Nord","Québec","QC","G1N 4C2"
"30","CEA-388","CÉGEP de Chicoutimi","534 rue Jacques-Cartier est, Chicoutimi, QC, G7H 1Z6","Level2",48.424436,-71.05471787,"534 rue Jacques-Cartier est","Chicoutimi","QC","G7H 1Z6"
"31","CE-FC-019","First Capital - Carrefour St-David Est","2040 Blanche-Lamontagne, Beauport, QC, G1C 0H8","Level2",46.865191,-71.212674,"2040 Blanche-Lamontagne","Beauport","QC","G1C 0H8"
"32","CEA-478","St-Hubert - Fleurimont","1818 King E, Sherbrooke, QC, J1G 5G6","Level2",45.40941,-71.848632,"1818 King E","Sherbrooke","QC","J1G 5G6"
"33","CEA-158","First Capital - RBC Lachenaie","287 montée des Pionniers, Terrebonne, QC, J6V 1H4","Level2",45.71114707,-73.51276771,"287 montée des Pionniers","Terrebonne","QC","J6V 1H4"
"34","CEA-311","Stoneham - Mairie","325 Chemin du Hibou, Stoneham-et-Tewkesbury, QC, G3C 1P1","Level2",46.99985223,-71.36887729,"325 Chemin du Hibou","Stoneham-et-Tewkesbury","QC","G3C 1P1"
"35","CEA-128","Villeray - Centre sportif Jean-Rougeau","8000 rue de Normanville, Montréal, QC, H2R 2V6","Level2",45.548532,-73.622186,"8000 rue de Normanville","Montréal","QC","H2R 2V6"
"36","CEA-207B","Victoriaville - Stationnement de Bigarré","125 rue de Bigarré, Victoriaville, QC, G6P 4Z2","Level2",46.057979,-71.95601,"125 rue de Bigarré","Victoriaville","QC","G6P 4Z2"
"37","CEA-447","St-Hubert - Montmagny","205 Chemin des Poirier, Montmagny, QC, G5V 4J9","Level2",46.969361,-70.577885,"205 Chemin des Poirier","Montmagny","QC","G5V 4J9"
"38","CEA-127","Ville de McMasterville - Hôtel de Ville","255 Boulevard Constable, McMasterville, QC, J3G 6N9","Level2",45.55060361,-73.22895374,"255 Boulevard Constable","McMasterville","QC","J3G 6N9"
"39","CE-A-030","AMT - Stationnement Deux-Montagnes","400 boul. des Deux-Montagnes, Deux-Montagnes, QC, J7R 7C2","Level2",45.54488373,-73.91170502,"400 boul. des Deux-Montagnes","Deux-Montagnes","QC","J7R 7C2"
"40","CEA-498","Laval - Hôtel de Ville","1 place du Souvenir, Laval, QC, H7V 3Z4","Level2",45.551533,-73.7452,"1 place du Souvenir","Laval","QC","H7V 3Z4"
"41","CEC-00013","BRCC - St-Hubert - Drummondville","125 boul. St-Joseph, Drummondville, QC, J2B 7P5","FastDC",45.898911,-72.5257,"125 boul. St-Joseph","Drummondville","QC","J2B 7P5"
"42","CEA-348","Plessisville - Hôtel de Ville","1700 rue Saint-Calixte, Plessisville, QC, G6L 1R3","Level2",46.21864223,-71.77146673,"1700 rue Saint-Calixte","Plessisville","QC","G6L 1R3"
"43","CEA-10172","Sur rue - Ville-Marie - rue Metcalfe","1550 rue Metcalfe, Montréal, QC, H3A 3L8","Level2",45.501087,-73.573064,"1550 rue Metcalfe","Montréal","QC","H3A 3L8"
"44","CEA-10166","MRC Charlevoix - Isle-aux-Coudres","1026 chemin des Coudriers, L'Isle-aux-Coudres, QC, G0A 3J0","Level2",47.419875,-70.384552,"1026 chemin des Coudriers","L'Isle-aux-Coudres","QC","G0A 3J0"
"45","CEA-358","SHDM - Complexe Chaussegros-De-Léry","330 rue Champ-de-Mars, Montréal, QC, H2Y 3Z3","Level2",45.509619,-73.55353,"330 rue Champ-de-Mars","Montréal","QC","H2Y 3Z3"
"46","CEA-316","CÉGEP de Jonquière","2505 rue Saint Hubert, Jonquière, QC, G7X 7W2","Level2",48.40421697,-71.24550194,"2505 rue Saint Hubert","Jonquière","QC","G7X 7W2"
"47","CEA-112","RONA - St-Jérôme","1025 Jean-Baptiste-Rolland O, St-Jérôme, QC, J7Y 4Y7","Level2",45.767139,-74.019012,"1025 Jean-Baptiste-Rolland O","St-Jérôme","QC","J7Y 4Y7"
"48","CEA-387","Ville de Lyster - Caisse Populaire","635 rue Laurier, Lyster, QC, G0S 1V0","Level2",46.37108794,-71.61240149,"635 rue Laurier","Lyster","QC","G0S 1V0"
"49","CEA-179","Montréal-Nord - Hôtel de Ville","4243 rue de Charleroi, Montréal, QC, H1H 5R5","Level2",45.594043,-73.63755,"4243 rue de Charleroi","Montréal","QC","H1H 5R5"
"50","CEA-025","Drummondville - Stationnement Hériot","25 rue du Pont, Drummondville, QC, J2C 6B9","Level2",45.885964,-72.488665,"25 rue du Pont","Drummondville","QC","J2C 6B9"
"51","CEC-00004","BRCC - Trois-Rivières (Cap-de-la-Madeleine)","509 rue Vachon, Trois-Rivières, QC, G8T 8Y2","FastDC",46.370328,-72.55448,"509 rue Vachon","Trois-Rivières","QC","G8T 8Y2"
"52","CEA-033","Stade de Soccer de Montréal","9235 Avenue Papineau, Montréal, QC, H2M 2G5","Level2",45.562243,-73.63818,"9235 Avenue Papineau","Montréal","QC","H2M 2G5"
"53","CEC-00057","BRCC - CDSMML - New Richmond","116 boul. Perron Ouest, New Richmond, QC, G0C 2B0","FastDC",48.161172,-65.85714,"116 boul. Perron Ouest","New Richmond","QC","G0C 2B0"
"54","CEA-10062","St-Hubert - St-Liboire","1145 rang St-Édouard, St-Liboire, QC, J0H 1R0","Level2",45.688036,-72.805937,"1145 rang St-Édouard","St-Liboire","QC","J0H 1R0"
"55","CEA-10139","Collège Laval","1275 Avenue du Collège, Laval, QC, H7C 1W8","Level2",45.615499,-73.648099,"1275 Avenue du Collège","Laval","QC","H7C 1W8"
"56","CEC-00061","BRCC - Centre commercial Rivière-du-Loup","298 Boul. Armand-Thériault, Rivière-du-Loup, QC, G5R 4C2","FastDC",47.825886,-69.5494,"298 Boul. Armand-Thériault","Rivière-du-Loup","QC","G5R 4C2"
"57","CE-FM-004","Fairmont Le Reine Elizabeth","900 René-Lévesque Ouest, Montréal, QC, H3B 4A5","Level2",45.5013504,-73.56759644,"900 René-Lévesque Ouest","Montréal","QC","H3B 4A5"
"58","CE-VS-002","Ville de Sherbrooke - Grenouillière","50 rue Meadow, Sherbrooke, QC, J1H 5H9","Level2",45.40346909,-71.89077759,"50 rue Meadow","Sherbrooke","QC","J1H 5H9"
"59","CEA-10025","Sur rue - Ville-Marie - rue St-Antoine","301 rue St-Antoine Ouest, Montréal, QC, H2Z 1H5","Level2",45.503582,-73.56019,"301 rue St-Antoine Ouest","Montréal","QC","H2Z 1H5"
"60","CEA-10246","MRC Coaticook - Saint-Malo","224 route 253 Sud, Saint-Malo, QC, J0B 2Y0","Level2",45.197645,-71.500718,"224 route 253 Sud","Saint-Malo","QC","J0B 2Y0"
"61","CE-S-016","St-Hubert - Candiac","107 chemin St-François Xavier, Candiac, QC, J5R 3X8","Level2",45.38028717,-73.53488159,"107 chemin St-François Xavier","Candiac","QC","J5R 3X8"
"62","CEA-094","Stade de Soccer de Montréal","9235 Avenue Papineau, Montréal, QC, H2M 2G5","Level2",45.562243,-73.63818,"9235 Avenue Papineau","Montréal","QC","H2M 2G5"
"63","CEC-00001","BRCC - Aire de service de la Baie-de-Maskinongé","161 Autoroute 40, Maskinongé, QC, J0K 1N0","FastDC",46.195441,-73.00448,"161 Autoroute 40","Maskinongé","QC","J0K 1N0"
"64","CEA-459","Zoo de Granby - Stationnement","1050 boul. David-Bouchard Nord, Granby, QC, J2G 5P3","Level2",45.4202333,-72.7240667,"1050 boul. David-Bouchard Nord","Granby","QC","J2G 5P3"
"65","CEA-10229","Bureau d'accueil touristique - MRC Coaticook","137 Rue Michaud, Coaticook, QC, J1A 1A9","Level2",45.147142,-71.806976,"137 Rue Michaud","Coaticook","QC","J1A 1A9"
"66","CEA-213","St-Hubert - Granby","940 Rue Principale, Granby, QC, J2G 2Z4","Level2",45.4142914,-72.75529988,"940 Rue Principale","Granby","QC","J2G 2Z4"
"67","CEA-10113","Valleyfield - Hôtel de Ville","61 Ste-Cécile, Salaberry-de-Valleyfield, QC, J6T 1L8","Level2",45.255475,-74.131591,"61 Ste-Cécile","Salaberry-de-Valleyfield","QC","J6T 1L8"
"68","CEA-350","SHDM - Complexe Chaussegros-De-Léry","330 rue Champ-de-Mars, Montréal, QC, H2Y 3Z3","Level2",45.509619,-73.55353,"330 rue Champ-de-Mars","Montréal","QC","H2Y 3Z3"
"69","CEA-444","St-Hubert - Drummondville-Sud","2875 Boulevard St-Joseph, Drummondville, QC, J2B 7P5","Level2",45.866345,-72.47799,"2875 Boulevard St-Joseph","Drummondville","QC","J2B 7P5"
"70","CEA-239","MTQ - Aire de service du Point-du-Jour","250 autoroute Félix-Leclerc, Lavaltrie, QC, J0K 2Z0","Level2",45.889457,-73.35058,"250 autoroute Félix-Leclerc","Lavaltrie","QC","J0K 2Z0"
"71","CE-ADM-002","ADM - Aéroport Pierre-Elliott-Trudeau","800 place Leigh-Capreol, Dorval, QC, H4Y 0A5","Level2",45.45715333,-73.74907018,"800 place Leigh-Capreol","Dorval","QC","H4Y 0A5"
"72","CEA-118","First Capital - SAQ Lorraine","85 Boulevard de Gaulle, Lorraine, QC, J6Z 3R8","Level2",45.665319,-73.78185,"85 Boulevard de Gaulle","Lorraine","QC","J6Z 3R8"
"73","CEA-10075","Québec - Bibliothèque Félix Leclerc","1465 Rue de l'Innovation, Québec, QC, G3K 2P9","Level2",46.85758658,-71.41974601,"1465 Rue de l'Innovation","Québec","QC","G3K 2P9"
"74","CE-S-011","St-Hubert - Saint-Eustache","555 boul. Arthur-Sauvé, St-Eustache, QC, J7P 4X5","Level2",45.57397461,-73.9139328,"555 boul. Arthur-Sauvé","St-Eustache","QC","J7P 4X5"
"75","CEA-435","Ste-Brigide-d'Iberville - Centre Municipal","510 9e rang, Sainte-Brigide-D'Iberville, QC, J0J 1X0","Level2",45.321901,-73.06614,"510 9e rang","Sainte-Brigide-D'Iberville","QC","J0J 1X0"
"76","CEC-00029","BRCC - Ville de St-Jean-sur-Richelieu (Rona)","85 Av Conrad-Gosselin, St-Jean-sur-Richelieu, QC, J2X 0A1","FastDC",45.324694,-73.248365,"85 Av Conrad-Gosselin","St-Jean-sur-Richelieu","QC","J2X 0A1"
"77","CEA-068","St-Laurent - Centre des Loisirs","1375 Rue Grenet, Montreal, QC, H4L 5K3","Level2",45.51495372,-73.69102041,"1375 Rue Grenet","Montreal","QC","H4L 5K3"
"78","CEA-148","Verdun - La Station","201 rue Berlioz, Ile des Soeurs, QC, H3E 1C1","Level2",45.459993,-73.54423,"201 rue Berlioz","Ile des Soeurs","QC","H3E 1C1"
"79","CEA-469","St-Hubert - Richelieu","2330 Chemin des Patriotes, Richelieu, QC, J3L 6M7","Level2",45.413805,-73.240305,"2330 Chemin des Patriotes","Richelieu","QC","J3L 6M7"
"80","CEA-423","Racine - Caisse populaire Desjardins","145 route 222, Racine, QC, J0E 1Y0","Level2",45.503649,-72.24831,"145 route 222","Racine","QC","J0E 1Y0"
"81","CEA-455","Ville de Blainville - Bibliothèque Paul-Mercier","1003 rue de la Mairie, Blainville, QC, J7C 3C7","Level2",45.681191,-73.8752,"1003 rue de la Mairie","Blainville","QC","J7C 3C7"
"82","CEA-10111","St-Hubert - Dolbeau-Mistassini","1780 Rue des Mélèzes, Dolbeau-Mistassini, QC, G8L 3M8","Level2",48.881311,-72.234929,"1780 Rue des Mélèzes","Dolbeau-Mistassini","QC","G8L 3M8"
"83","CEA-193","Hydro-Québec - St-Jérôme, 333 Jean-Paul-Hogue","333 Jean-Paul-Hogue, St-Jérôme, QC, J7Z 6Y3","Level2",45.761751,-73.997054,"333 Jean-Paul-Hogue","St-Jérôme","QC","J7Z 6Y3"
"84","CEA-262","St-Hubert - Mascouche","241 Montée Masson, Mascouche, QC, J7K 3B4","Level2",45.72655851,-73.61696,"241 Montée Masson","Mascouche","QC","J7K 3B4"
"85","CEB-10001","Groupe Mercille - Complexe St-Charles","1111 Rue Saint-Charles Ouest, Longueuil, QC, J4K 5G4","Level2",45.52631,-73.519977,"1111 Rue Saint-Charles Ouest","Longueuil","QC","J4K 5G4"
"86","CE-M-019","METRO - Fleury","1745 rue Fleury Est, Montréal, QC, H2C 1T3","Level2",45.56669998,-73.65421295,"1745 rue Fleury Est","Montréal","QC","H2C 1T3"
"87","CEA-223","Monsieur Muffler","4747 boul. Lévesque Est, Laval, QC, H7C 1M9","Level2",45.60745909,-73.64537388,"4747 boul. Lévesque Est","Laval","QC","H7C 1M9"
"88","CE-FC-017","First Capital - Carrefour St-David Est","2060 Blanche Lamontagne, Beauport, QC, G1C 0G9","Level2",46.86538315,-71.21273804,"2060 Blanche Lamontagne","Beauport","QC","G1C 0G9"
"89","CEA-10141","Collège de Rosemont","6400 16e avenue, Montréal, QC, H1X 2S9","Level2",45.55713912,-73.58114857,"6400 16e avenue","Montréal","QC","H1X 2S9"
"90","CEA-276","MTQ - Aire de service de la Baie-de-Maskinongé","161 Autoroute 40, Maskinongé, QC, J0K 1N0","Level2",46.195441,-73.00448,"161 Autoroute 40","Maskinongé","QC","J0K 1N0"
"91","CE-FC-004","First Capital - Carrefour St-David Ouest","2815 avenue St-David, Beauport, QC, G1E 4K7","Level2",46.864197,-71.216042,"2815 avenue St-David","Beauport","QC","G1E 4K7"
"92","CEA-143","Villeray - Maison du citoyen","7501 François Perrault, Montréal, QC, H2A 1M1","Level2",45.56153,-73.60127,"7501 François Perrault","Montréal","QC","H2A 1M1"
"93","CEA-10159","Piopolis - Édifice Municipal","403 rue principale, Piopolis, QC, G0Y 1H0","Level2",45.48582448,-70.90757093,"403 rue principale","Piopolis","QC","G0Y 1H0"
"94","CE-R-001","RONA - Brossard","9800 boul. Leduc, Brossard, QC, J4Y 0B4","Level2",45.4383049,-73.44075012,"9800 boul. Leduc","Brossard","QC","J4Y 0B4"
"95","CEC-00051","BRCC - CDSMML - Mont-Louis","19 1ere Avenue Ouest, St-Maxime-du-Mont-Louis, QC, G0E 1T0","FastDC",49.228842,-65.735214,"19 1ere Avenue Ouest","St-Maxime-du-Mont-Louis","QC","G0E 1T0"
"96","CEA-10065","St-Hubert - Chambly","3200 boul. Fréchette, Chambly, QC, J3L 6Z6","Level2",45.431142,-73.30393,"3200 boul. Fréchette","Chambly","QC","J3L 6Z6"
"97","CEA-389","First Capital - Carrefour du Plateau des Grives","205-219 boul. du Plateau, Gatineau, QC, J9J 0N4","Level2",45.431995,-75.78066,"205-219 boul. du Plateau","Gatineau","QC","J9J 0N4"
"98","CE-VS-001","Ville de Sherbrooke - Centre récréatif Rock Forest","968 rue du Haut-Bois Sud, Sherbrooke, QC, J1H 5H9","Level2",45.36859131,-71.9881897,"968 rue du Haut-Bois Sud","Sherbrooke","QC","J1H 5H9"
"99","CEA-392","MRC de la Vallée-du-Richelieu - McMasterville","255 boul. Laurier, McMasterville, QC, J3G 0B7","Level2",45.54718536,-73.22975519,"255 boul. Laurier","McMasterville","QC","J3G 0B7"
"100","CEA-266","Bentall Kennedy - Tour KPMG","600 Boulevard de Maisonneuve Ouest, Montréal, QC, H3A 0A3","Level2",45.504524,-73.5705,"600 Boulevard de Maisonneuve Ouest","Montréal","QC","H3A 0A3"
"101","CEA-394","UQAC Chicoutimi","555 Boulevard de l'Université, Chicoutimi, QC, G7H 2B1","Level2",48.420502,-71.05121,"555 Boulevard de l'Université","Chicoutimi","QC","G7H 2B1"
"102","CEC-00034","BRCC - St-Hubert - Ste-Marie","655 Route Cameron, Ste-Marie-de-Beauce, QC, G6E 3V7","FastDC",46.46915,-71.037935,"655 Route Cameron","Ste-Marie-de-Beauce","QC","G6E 3V7"
"103","CEA-10043","Sur rue - Ville-Marie - rue Metcalfe","1550 rue Metcalfe, Montréal, QC, H3A 3L8","Level2",45.501087,-73.573064,"1550 rue Metcalfe","Montréal","QC","H3A 3L8"
"104","CE-M-015","METRO - Laurier","2450 boul. Laurier, Québec, QC, G1V 2L1","Level2",46.77531406,-71.27736425,"2450 boul. Laurier","Québec","QC","G1V 2L1"
"105","CEA-10211","Coq Rôti - l'Étape","10002 route 175, Stoneham-et-Tewkesbury, QC, G3C 2N9","Level2",47.559526,-71.23096,"10002 route 175","Stoneham-et-Tewkesbury","QC","G3C 2N9"
"106","CEA-184","RDP-PAT - Centre communautaire Roussin","12125 Rue Notre-Dame est, Montréal, QC, H1B 2Y9","Level2",45.641308,-73.49087,"12125 Rue Notre-Dame est","Montréal","QC","H1B 2Y9"
"107","CE-A-033","AMT - Gare Blainville","38 boul. de la Seigneurie Est, Blainville, QC, J7C 3V5","Level2",45.67253494,-73.86418915,"38 boul. de la Seigneurie Est","Blainville","QC","J7C 3V5"
"108","CE-FC-008","First Capital - Carrefour du Versant Ouest","1500 boul. Gréber, Gatineau, QC, J8R 0E1","Level2",45.503821,-75.678098,"1500 boul. Gréber","Gatineau","QC","J8R 0E1"
"109","CEA-10088","St-Eugène - Dépanneur Général","10 rue Principale, St-Eugène-De-Ladrière, QC, G0L 1P0","Level2",48.243236,-68.79491,"10 rue Principale","St-Eugène-De-Ladrière","QC","G0L 1P0"
"110","CE-R-017","RONA - Québec","1500 rue Bouvier, Québec, QC, G2K 1N8","Level2",46.827658,-71.293394,"1500 rue Bouvier","Québec","QC","G2K 1N8"
"111","CEC-00014","BRCC - Carrefour La Pocatière","625 1ère rue, La Pocatière, QC, G0R 1Z0","FastDC",47.364068,-70.03577,"625 1ère rue","La Pocatière","QC","G0R 1Z0"
"112","CEA-10177","Sur rue - Ville-Marie - rue Boisbriand","270 rue de Boisbriand, Montréal, QC, H2X 3C5","Level2",45.512673,-73.562445,"270 rue de Boisbriand","Montréal","QC","H2X 3C5"
"113","CEC-00044","BRCC - Ville de Rimouski","50 rue Saint-Germain Ouest, Rimouski, QC, G5L 4B5","FastDC",48.45068758,-68.52971682,"50 rue Saint-Germain Ouest","Rimouski","QC","G5L 4B5"
"114","CEA-10120","St-Hubert - Berthierville","1091 av Gilles-Villeneuve, Berthierville, QC, J0K 1A0","Level2",46.08835187,-73.19668449,"1091 av Gilles-Villeneuve","Berthierville","QC","J0K 1A0"
"115","CEA-10089","St-Hubert - Joliette","111 Rue de la Visitation, Joliette, QC, J6E 4N4","Level2",46.04050882,-73.44773682,"111 Rue de la Visitation","Joliette","QC","J6E 4N4"
"116","CEA-231","Drummondville - Maison des arts Desjardins","175 Ringuet, Drummondville, QC, J2C 2P7","Level2",45.877,-72.501,"175 Ringuet","Drummondville","QC","J2C 2P7"
"117","CEA-242","Ste-Marcelline - Maison de la Culture","520 rue Principale, Sainte-Marcelline-de-Kildare, QC, J0K 2Y0","Level2",46.117694,-73.5996,"520 rue Principale","Sainte-Marcelline-de-Kildare","QC","J0K 2Y0"
"118","CEA-367","Pierrefonds-Roxboro - Parc Grier","4600 rue des Cageux, Montréal, QC, H9J 3R4","Level2",45.458325,-73.88109,"4600 rue des Cageux","Montréal","QC","H9J 3R4"
"119","CEA-10063","St-Hubert - Roland-Therrien","1901 boul. Roland-Therrien, Longueuil, QC, J4N 1A3","Level2",45.53804587,-73.47643809,"1901 boul. Roland-Therrien","Longueuil","QC","J4N 1A3"
"120","CEA-170","Lasalle - Centre Henri-Lemieux","7644 Rue Édouard, Lasalle, QC, H9P 1T3","Level2",45.430676,-73.593881,"7644 Rue Édouard","Lasalle","QC","H9P 1T3"
"121","CEA-10108","St-Hubert - Lachine","665 32e Avenue, Lachine, QC, H8T 3G6","Level2",45.441233,-73.69317,"665 32e Avenue","Lachine","QC","H8T 3G6"
"122","CE-S-001","St-Hubert - Pointe-aux-Trembles","12575 rue Sherbrooke Est, Pointe-aux-Trembles, QC, H1B 1C8","Level2",45.65049362,-73.51167297,"12575 rue Sherbrooke Est","Pointe-aux-Trembles","QC","H1B 1C8"
"123","CE-A-009","AMT - Terminus Sainte-Thérèse","116 rue Turgeon, Ste-Thérèse, QC, J7E 3H9","Level2",45.6356926,-73.8364563,"116 rue Turgeon","Ste-Thérèse","QC","J7E 3H9"
"124","CE-FC-015","First Capital - SAQ Jean-Talon","5040 Jean-Talon Est, Montréal, QC, H4P 1W9","Level2",45.57585,-73.58395,"5040 Jean-Talon Est","Montréal","QC","H4P 1W9"
"125","CEC-00045","BRCC - Aire de service - Melbourne","1035 Rte 243, Melbourne, QC, J0B 2B0","FastDC",45.63602,-72.144073,"1035 Rte 243","Melbourne","QC","J0B 2B0"
"126","CEA-499","Brossard - Centre communautaire Nathalie-Croteau ","2210 rue André, Brossard, QC, J4Z 2Z8","Level2",45.478584,-73.46287,"2210 rue André","Brossard","QC","J4Z 2Z8"
"127","CEA-044","Ville de Boucherville - Bibliothèque Montarville","501 Chemin du Lac, Boucherville, QC, J4B 6V6","Level2",45.604502,-73.449438,"501 Chemin du Lac","Boucherville","QC","J4B 6V6"
"128","CEA-507","Roberval - Hôtel de Ville - Public","851 Boul. St-Joseph, Roberval, QC, G8H 2L6","Level2",48.518258,-72.222299,"851 Boul. St-Joseph","Roberval","QC","G8H 2L6"
"129","CE-M-005","METRO - Sainte-Thérèse","214 boul. René-A.-Robert, Sainte-Thérèse, QC, J7E 4L2","Level2",45.64543533,-73.8188324,"214 boul. René-A.-Robert","Sainte-Thérèse","QC","J7E 4L2"
"130","CEA-10039","Dorval - Complexe sportif","1295 Avenue Dawson, Dorval, QC, H9S 1Y4","Level2",45.442673,-73.75442,"1295 Avenue Dawson","Dorval","QC","H9S 1Y4"
"131","CEA-042","Ville de Blainville - Centre récréoaquatique","190 rue Marie-Chapleau, Blainville, QC, J7C 3B5","Level2",45.66666052,-73.88530726,"190 rue Marie-Chapleau","Blainville","QC","J7C 3B5"
"132","CEA-015","First Capital - Carrefour du Plateau des Grives","205-219 boul. du Plateau, Gatineau, QC, J9J 0N4","Level2",45.432205,-75.781406,"205-219 boul. du Plateau","Gatineau","QC","J9J 0N4"
