"","ID","ID.Parc","Adresse.Complete","Type","Latitude","Longitude","Adresse.Rue","Adresse.Ville","Adresse.Province","Adresse.Postal"
"445","CEA-229","St-Laurent - Mairie","777 boulevard Marcel-Laurin, Montréal, QC, H4M 2M7","Level2",45.50793393,-73.68261563,"777 boulevard Marcel-Laurin","Montréal","QC","H4M 2M7"
"446","CEA-204b","Lachine - Bibliothèque Saul-Bellow","3100 rue St-Antoine, Lachine, QC, H8S 4B8","Level2",45.440212,-73.6921,"3100 rue St-Antoine","Lachine","QC","H8S 4B8"
"447","CEA-10234","MRC Charlevoix - Les Éboulements","2335 route du Fleuve, Les Éboulements, QC, G0A 2M0","Level2",47.479707,-70.318047,"2335 route du Fleuve","Les Éboulements","QC","G0A 2M0"
"448","CEA-473","Collège de Maisonneuve","2700 Ave. Bourbonnière, Montréal, QC, H1W 3L5","Level2",45.550683,-73.55266,"2700 Ave. Bourbonnière","Montréal","QC","H1W 3L5"
"449","CE-A-006","AMT - Gare Bois-Franc","5465 boul. Henri-Bourassa Ouest, Saint-Laurent, QC, H4K 2E1","Level2",45.52256393,-73.71013641,"5465 boul. Henri-Bourassa Ouest","Saint-Laurent","QC","H4K 2E1"
"450","CEA-318","St-Hubert - Drummondville","125 boul. St-Joseph, Drummondville, QC, J2B 7P5","Level2",45.898911,-72.5257,"125 boul. St-Joseph","Drummondville","QC","J2B 7P5"
"451","CEA-261","Palais des Congrès de Montréal","159 St-Antoine O, Montréal, QC, H2Z 1H2","Level2",45.505426,-73.561206,"159 St-Antoine O","Montréal","QC","H2Z 1H2"
"452","CEA-10106","St-Hubert - Marcel-Laurin","1300 Boul. Marcel-Laurin, St-Laurent, QC, H4R 1J9","Level2",45.512061,-73.692813,"1300 Boul. Marcel-Laurin","St-Laurent","QC","H4R 1J9"
"453","CEA-10080","St-Augustin - Complex sportif multifonctionnel","230 Route de Fossambault, Saint-Augustin-de-Desmaures, QC, G3A 0C4","Level2",46.74821808,-71.46141714,"230 Route de Fossambault","Saint-Augustin-de-Desmaures","QC","G3A 0C4"
"454","CEA-329","First Capital - Dollarama Charlemagne","90 Rue Émile-Despins, Charlemagne, QC, J5Z 3L6","Level2",45.721201,-73.49321,"90 Rue Émile-Despins","Charlemagne","QC","J5Z 3L6"
"455","CEA-451","St-Hubert - Sainte-Foy","2772 Chemin Ste-Foy, Québec, QC, G1V 1V7","Level2",46.78006269,-71.30246576,"2772 Chemin Ste-Foy","Québec","QC","G1V 1V7"
"456","CEA-080","Lasalle - Hôtel de Ville","55 avenue Dupras , LaSalle, QC, H8R 4A8","Level2",45.428702,-73.661621,"55 avenue Dupras ","LaSalle","QC","H8R 4A8"
"457","CEA-003","First Capital - Carrefour du Plateau des Grives","205-219 boul. du Plateau, Gatineau, QC, J9J 0N4","Level2",45.432205,-75.781406,"205-219 boul. du Plateau","Gatineau","QC","J9J 0N4"
"458","CE-M-018","METRO - Beauport","2830 avenue Saint-David, Québec, QC, G1C 5W2","Level2",46.865594,-71.214948,"2830 avenue Saint-David","Québec","QC","G1C 5W2"
"459","CE-FC-010","First Capital - Carrefour du Versant Ouest","1500 boul. Gréber, Gatineau, QC, J8R 0E1","Level2",45.503821,-75.678098,"1500 boul. Gréber","Gatineau","QC","J8R 0E1"
"460","CEA-10251","MRC Charlevoix - Petite-Rivière-St-François","1067 rue Principale, Petite-Rivière-St-François, QC, G0A 2L0","Level2",47.30127454,-70.56812959,"1067 rue Principale","Petite-Rivière-St-François","QC","G0A 2L0"
"461","CEA-196","St-Hubert - Saint-Jean-sur-Richelieu","960 boul. du Séminaire Nord, Saint-Jean-sur-Richelieu, QC, J3A 1L2","Level2",45.33477373,-73.26872976,"960 boul. du Séminaire Nord","Saint-Jean-sur-Richelieu","QC","J3A 1L2"
"462","CEA-114","Société des casinos - Casino de Montréal","1 avenue du Casino, Montréal, QC, H3C 4W7","Level2",45.50621545,-73.52566344,"1 avenue du Casino","Montréal","QC","H3C 4W7"
"463","CEA-247","Boisbriand - Parc Wilfrid-Dion","3180 boul. de la Grande-Allée, Boisbriand, QC, J7G 1M9","Level2",45.625236,-73.85267,"3180 boul. de la Grande-Allée","Boisbriand","QC","J7G 1M9"
"464","CE-M-010","METRO - Brossard","2004 boul. de Rome, Brossard, QC, J4W 3M7","Level2",45.45650482,-73.46694946,"2004 boul. de Rome","Brossard","QC","J4W 3M7"
"465","CE-SP-001","SÉPAQ - Parc national des Iles-de-Boucherville","55 Île Ste-Marguerite, Boucherville, QC, J4B 5J6","Level2",45.59674072,-73.46955109,"55 Île Ste-Marguerite","Boucherville","QC","J4B 5J6"
"466","CE-CB-001","Centre Bell","1275 rue Saint-Antoine Ouest, Montréal, QC, H3C 5L2","Level2",45.49565125,-73.56819153,"1275 rue Saint-Antoine Ouest","Montréal","QC","H3C 5L2"
"467","CEA-10094","DGI - Complexe Desjardins","1251 rue Jeanne-Mance, Montréal, QC, H2X 3Y2","Level2",45.507924,-73.56414,"1251 rue Jeanne-Mance","Montréal","QC","H2X 3Y2"
"468","CEA-175","Montréal-Nord - Aréna Fleury","3700 Rue Fleury E, Montréal-Nord, QC, H1H 1M6","Level2",45.58299,-73.636718,"3700 Rue Fleury E","Montréal-Nord","QC","H1H 1M6"
"469","CE-HS-002","CHUS - Hôpital Fleurimont","3001 12e Avenue Nord, Sherbrooke, QC, J1H 5N4","Level2",45.44882965,-71.86815643,"3001 12e Avenue Nord","Sherbrooke","QC","J1H 5N4"
"470","CEA-10233","MRC Coaticook - St-Venant-de-Paquette","5 Chemin du Village, Saint-Venant-de-Paquette, QC, J0B 1S0","Level2",45.124878,-71.46181,"5 Chemin du Village","Saint-Venant-de-Paquette","QC","J0B 1S0"
"471","CE-A-024","AMT - Gare Saint-Bruno","1200 rue Lenoir, Saint-Bruno, QC, J3V 4P6","Level2",45.51227188,-73.37399292,"1200 rue Lenoir","Saint-Bruno","QC","J3V 4P6"
"472","CEA-10227","Sainte-Thérèse - Hôtel de Ville","6 rue de l'Église, Sainte-Thérèse, QC, J7E 3L1","Level2",45.640083,-73.842829,"6 rue de l'Église","Sainte-Thérèse","QC","J7E 3L1"
"473","CEA-366","St-Hubert - Vimont","1963 boul. des Laurentides, Vimont, QC, H7M 2R3","Level2",45.60476,-73.73002,"1963 boul. des Laurentides","Vimont","QC","H7M 2R3"
"474","CEA-291","Complexe d'Affaires Henri-IV","1035 Wilfrid-Pelletier, Québec, QC, G1W 0C4","Level2",46.769542,-71.30393,"1035 Wilfrid-Pelletier","Québec","QC","G1W 0C4"
"475","CEC-00010","BRCC - St-Hubert - St-Jérôme","270 rue de Martigny Ouest, St-Jérôme, QC, J7Y 2G5","FastDC",45.7796402,-74.01674652,"270 rue de Martigny Ouest","St-Jérôme","QC","J7Y 2G5"
"476","CE-US-002","Université de Sherbrooke","45 boul. de l'Aéroport, Bromont, QC, J2L 1S8","Level2",45.29795456,-72.72662354,"45 boul. de l'Aéroport","Bromont","QC","J2L 1S8"
"477","CE-US-004","Université de Sherbrooke - Campus principal","2500 boul. de l'Université, Sherbrooke, QC, J1K 2R1","Level2",45.37824631,-71.92841339,"2500 boul. de l'Université","Sherbrooke","QC","J1K 2R1"
"478","CE-FC-002","First Capital - Carrefour Charlemagne","30 Rue Émile-Despins, Charlemagne, QC, J5Z 3L6","Level2",45.720641,-73.493505,"30 Rue Émile-Despins","Charlemagne","QC","J5Z 3L6"
"479","CEA-088","First Capital - Centre d'achats Ville Mont-Royal","2300 chemin Lucerne, Ville Mont-Royal, QC, H3R 2J8","Level2",45.507103,-73.66129,"2300 chemin Lucerne","Ville Mont-Royal","QC","H3R 2J8"
"480","CEA-466","St-Hubert - Roberval","21 Boul. de l'Anse, Roberval, QC, G8H 1Z1","Level2",48.497592,-72.220737,"21 Boul. de l'Anse","Roberval","QC","G8H 1Z1"
"481","CE-R-015","Réno-Dépôt - Pointe-Claire","400 boul. Brunswick, Pointe-Claire, QC, H9R 5X4","Level2",45.46244049,-73.83586121,"400 boul. Brunswick","Pointe-Claire","QC","H9R 5X4"
"482","CEA-10221","Sur rue - Ville-Marie - rue St-Antoine","155 rue St-Antoine Ouest, Montréal, QC, H2Z 2A7","Level2",45.504965,-73.559,"155 rue St-Antoine Ouest","Montréal","QC","H2Z 2A7"
"483","CE-A-040","AMT - Terminus Radisson","7250 rue Sherbrooke Est, Montréal, QC, H1N 1E7","Level2",45.58999902,-73.53673941,"7250 rue Sherbrooke Est","Montréal","QC","H1N 1E7"
"484","CEA-10147","Sur rue - Ville-Marie - 1475 rue St-Denis","1475 rue St-Denis, Montréal, QC, H2L 4Y2","Level2",45.51411,-73.561334,"1475 rue St-Denis","Montréal","QC","H2L 4Y2"
"485","CEA-10101","Musée J. Armand Bombardier","1001 Avenue J.A. Bombardier, Valcourt, QC, J0E 2L0","Level2",45.494204,-72.310161,"1001 Avenue J.A. Bombardier","Valcourt","QC","J0E 2L0"
"486","CEA-230","Allied - 75 Queen","75 Queen, Montreal, QC, H3C 2N5","Level2",45.49751371,-73.55427392,"75 Queen","Montreal","QC","H3C 2N5"
"487","CEA-10138","St-Augustin - Complex sportif multifonctionnel","230 Route de Fossambault, Saint-Augustin-de-Desmaures, QC, G3A 0C4","Level2",46.74821808,-71.46141714,"230 Route de Fossambault","Saint-Augustin-de-Desmaures","QC","G3A 0C4"
